00:50:C2:06:B0/36,NCast       ,NCast Corporation
00:50:C2:06:C0/36,WaveComElect,"WaveCom Electronics, Inc."
00:50:C2:06:D0/36,AdvancedSign,Advanced Signal Corp.
00:50:C2:06:E0/36,AvtronManufa,Avtron Manufacturing Inc.
00:50:C2:06:F0/36,DigitalServi,Digital Services Group
00:50:C2:07:00/36,KatchallTech,Katchall Technologies Group
00:50:C2:07:10/36,NetVisionTel,NetVision Telecom
00:50:C2:07:20/36,NeubergerGeb,Neuberger Gebaeudeautomation GmbH & Co.
00:50:C2:07:30/36,AlstomSignal,Alstom Signalling Ltd.
00:50:C2:07:40/36,EdgeTech    ,"Edge Tech Co., Ltd."
00:50:C2:07:50/36,ENTTEC      ,ENTTEC Pty Ltd.
00:50:C2:07:60/36,LittonGuidan,Litton Guidance & Control Systems
00:50:C2:07:70/36,SacoSmartvis,Saco Smartvision Inc.
00:50:C2:07:80/36,Reselec     ,Reselec AG
00:50:C2:07:90/36,Flextel     ,Flextel S.p.A
00:50:C2:07:A0/36,RadioTel    ,RadioTel
00:50:C2:07:B0/36,TrikonTechno,Trikon Technologies Ltd.
00:50:C2:07:C0/36,PLLBelettron,PLLB elettronica spa
00:50:C2:07:D0/36,CaspianNetwo,Caspian Networks
00:50:C2:07:E0/36,JLteknik    ,JL-teknik
00:50:C2:07:F0/36,Dunti       ,Dunti Corporation
00:50:C2:08:00/36,Aim         ,Aim
00:50:C2:08:10/36,MatuschekMes,Matuschek Messtechnik GmbH
00:50:C2:08:20/36,GFIChronoTim,GFI Chrono Time
00:50:C2:08:30/36,ard         ,ard sa
00:50:C2:08:40/36,DIALOG4Syste,DIALOG4 System Engineering GmbH
00:50:C2:08:50/36,Crossport   ,Crossport Systems
00:50:C2:08:60/36,ValidyneEngi,Validyne Engineering Corp.
00:50:C2:08:70/36,MonitorBusin,Monitor Business Machines Ltd.
00:50:C2:08:80/36,TELINC      ,TELINC Corporation
00:50:C2:08:90/36,FenwalItalia,Fenwal Italia S.P.A.
00:50:C2:08:A0/36,RisingEdgeTe,Rising Edge Technologies
00:50:C2:08:B0/36,HYPERCHIP   ,HYPERCHIP Inc.
